alcohol,citric acid,sulphates,chlorides,Total_Acidity,pH,Bounded_Sulfur_Dioxide,OUTPUT_LABEL
11.9,0.36,0.4,0.034,7.55,3.25,147.0,1
9.1,0.51,0.51,0.047,8.245000000000001,3.09,117.0,0
11.0,0.37,0.5,0.034,6.91,3.25,54.0,1
10.2,0.27,0.4,0.055,6.33,3.16,60.0,0
12.8,0.34,0.38,0.022000000000000002,6.02,3.22,63.0,1
11.0,0.2,0.53,0.031,6.33,3.41,110.0,0
9.4,0.24,0.54,0.064,6.97,3.32,97.0,0
10.3,0.35,0.77,0.038,7.6000000000000005,3.49,86.0,1
12.3,0.32,0.26,0.031,6.34,3.25,93.0,1
11.0,0.26,0.6,0.047,6.4,3.48,77.0,1
11.7,0.38,0.46,0.031,5.609999999999999,3.34,87.0,0
11.5,0.38,0.32,0.043,8.120000000000001,3.12,106.0,1
10.4,0.12,0.48,0.05,6.699999999999999,3.42,65.0,0
11.5,0.37,0.37,0.027999999999999997,9.110000000000001,3.2,73.0,0
11.5,0.31,0.6,0.027000000000000003,6.96,3.26,57.0,1
10.6,0.28,0.42,0.031,7.25,3.06,95.0,0
11.3,0.24,0.64,0.045,6.83,3.15,102.0,1
11.2,0.45,0.49,0.027000000000000003,5.44,3.55,107.0,1
10.9,0.31,0.65,0.046,7.01,3.07,81.0,1
10.5,0.37,0.44,0.051,6.42,3.49,187.0,0
11.0,0.29,0.63,0.045,5.62,3.76,83.0,1
11.4,0.31,0.69,0.035,6.79,3.27,55.0,1
11.1,0.45,0.33,0.022000000000000002,9.08,3.01,35.0,1
11.0,0.49,0.32,0.034,7.52,2.99,105.0,1
10.9,0.47,0.42,0.037000000000000005,8.6,3.21,103.0,0
11.2,0.34,0.46,0.045,7.34,3.16,126.0,0
12.5,0.21,0.45,0.027000000000000003,5.489999999999999,3.5,57.0,0
10.9,0.28,0.45,0.039,6.88,3.11,86.0,1
11.6,0.42,0.38,0.036000000000000004,6.5,3.13,100.0,0
10.3,0.33,0.48,0.048,8.34,3.16,95.0,0
9.0,0.12,0.35,0.05,7.48,2.86,63.0,0
11.0,0.18,0.4,0.031,6.06,3.42,74.0,1
12.9,0.26,0.56,0.03,6.4,3.08,63.0,1
9.5,0.56,0.68,0.044000000000000004,10.92,2.87,144.0,0
10.7,0.23,0.41,0.028999999999999998,7.97,3.37,89.0,1
8.7,0.73,0.88,0.044000000000000004,9.01,2.96,164.0,0
12.2,0.32,0.74,0.040999999999999995,8.33,2.92,149.0,0
13.0,0.39,0.38,0.032,6.890000000000001,3.31,57.0,1
10.3,0.34,0.56,0.059000000000000004,7.01,3.33,164.0,0
11.2,0.28,0.27,0.045,5.8500000000000005,3.22,94.0,0
12.0,0.35,0.39,0.034,7.84,3.16,114.0,1
10.5,0.49,0.59,0.043,8.76,3.13,54.0,0
10.7,0.28,0.44,0.044000000000000004,5.88,3.35,106.0,1
9.3,0.56,0.49,0.053,6.859999999999999,3.11,109.0,0
10.8,0.3,0.54,0.038,8.620000000000001,3.13,77.0,1
10.3,0.48,0.41,0.057,8.46,3.15,67.0,0
9.9,0.24,0.41,0.057,7.71,3.2,122.0,0
9.6,0.32,0.67,0.039,7.16,3.3,114.0,0
12.4,0.29,0.38,0.026000000000000002,9.084999999999999,3.01,82.0,0
9.3,0.12,0.5,0.054000000000000006,6.5200000000000005,3.16,91.0,0
9.0,0.38,0.44,0.057999999999999996,7.430000000000001,3.09,139.0,0
12.0,0.58,0.6,0.034,5.779999999999999,3.51,100.0,1
11.8,0.33,0.31,0.027000000000000003,7.12,3.11,51.0,0
12.8,0.29,0.36,0.037000000000000005,6.59,3.17,108.0,1
11.8,0.4,0.3,0.031,6.319999999999999,3.03,86.0,1
12.0,0.49,0.34,0.035,8.63,3.04,73.0,0
12.8,0.34,0.45,0.04,7.92,3.14,74.0,1
11.5,0.23,0.28,0.034,5.06,3.46,88.0,1
11.3,0.28,0.54,0.038,6.24,3.3,73.0,1
9.6,0.51,0.52,0.05,7.3,3.07,128.0,1
12.8,0.49,0.67,0.044000000000000004,7.909999999999999,3.08,104.0,1
12.2,0.21,0.48,0.037000000000000005,5.01,3.66,95.0,1
10.7,0.31,0.64,0.046,6.930000000000001,3.33,66.0,1
9.2,0.37,0.42,0.048,7.6000000000000005,3.03,147.0,0
12.1,0.29,0.4,0.031,7.36,3.12,83.0,1
