alcohol,citric acid,sulphates,chlorides,Total_Acidity,pH,Bounded_Sulfur_Dioxide,OUTPUT_LABEL
10.96666667,0.41,0.59,0.048,6.29,3.09,94.0,1
13.2,0.16,0.53,0.036000000000000004,5.930000000000001,3.2,94.0,1
12.2,0.39,0.43,0.036000000000000004,7.35,3.28,94.0,1
10.7,0.35,0.47,0.054000000000000006,7.58,3.18,117.0,0
12.0,0.34,0.6,0.044000000000000004,6.82,3.28,64.0,1
11.7,0.91,0.49,0.034,6.6,3.39,149.0,0
8.9,0.14,0.51,0.043,7.36,3.13,193.0,0
10.4,0.36,0.4,0.032,7.859999999999999,3.15,100.0,0
8.7,0.73,0.88,0.044000000000000004,9.01,2.96,164.0,0
11.5,0.31,0.35,0.034,6.54,3.38,85.0,1
9.0,0.28,0.37,0.06,7.24,3.27,84.0,0
10.4,0.39,0.4,0.052000000000000005,7.88,3.25,93.0,0
9.5,0.45,0.48,0.05,6.67,3.18,144.0,0
12.4,0.29,0.34,0.035,5.485,3.19,74.0,1
12.1,0.34,0.48,0.027999999999999997,7.970000000000001,2.99,142.0,1
9.5,0.26,0.45,0.053,6.140000000000001,3.34,100.0,0
10.5,0.24,0.64,0.047,7.58,3.52,85.0,1
10.0,0.23,0.42,0.057,7.2700000000000005,3.23,112.0,0
10.5,0.29,0.48,0.036000000000000004,6.17,3.35,84.0,1
10.2,0.29,0.39,0.051,7.89,3.16,120.0,0
11.5,0.26,0.4,0.034,5.449999999999999,3.38,84.0,0
8.8,0.32,0.47,0.044000000000000004,8.93,3.12,134.0,1
8.8,0.31,0.32,0.045,7.640000000000001,3.09,131.0,0
12.4,0.24,0.42,0.036000000000000004,6.42,3.29,86.0,1
12.7,0.39,0.4,0.032,7.33,3.25,53.0,1
9.4,0.38,0.57,0.053,6.989999999999999,3.3,177.0,0
9.4,0.29,0.35,0.04,7.909999999999999,3.04,124.0,0
9.8,0.49,0.42,0.034,6.17,3.21,80.0,0
10.1,0.21,0.54,0.043,6.29,3.11,122.0,0
9.5,0.29,0.6,0.048,7.28,3.0,137.0,0
11.1,0.45,0.47,0.039,7.2,3.07,86.0,1
9.2,0.74,0.46,0.17300000000000001,7.27,3.04,87.0,0
9.5,0.26,0.5,0.054000000000000006,6.640000000000001,3.12,135.0,0
9.5,0.26,0.68,0.049,7.73,3.06,143.0,0
9.3,0.49,0.42,0.048,7.6000000000000005,3.01,127.0,0
10.8,0.39,0.66,0.027999999999999997,7.090000000000001,3.11,62.0,0
10.7,0.49,0.47,0.047,7.69,3.4,98.0,0
10.9,0.4,0.39,0.027999999999999997,8.1,3.14,99.0,1
10.4,0.3,0.54,0.045,6.34,3.31,39.0,0
10.8,0.37,0.5,0.043,7.18,3.18,88.0,0
9.0,0.39,0.48,0.057999999999999996,7.430000000000001,2.98,143.0,1
10.6,0.49,0.47,0.049,8.02,3.18,119.0,0
